jurisdiction,year,subject,grade,score,source
WA,2003,mathematics,8,281,"OSPI/NCES 2024 Math State Snapshot, WA Grade 8"
NP,2003,mathematics,8,276,"OSPI/NCES 2024 Math State Snapshot, WA Grade 8"
WA,2019,mathematics,8,285.8,"WA State Board of Education, 2019 NAEP release"
NP,2019,mathematics,8,281.0,"WA State Board of Education, 2019 NAEP release"
WA,2022,mathematics,8,276,"OSPI/NCES 2024 Math State Snapshot, WA Grade 8"
NP,2022,mathematics,8,273,"OSPI/NCES 2024 Math State Snapshot, WA Grade 8"
WA,2024,mathematics,8,274,"OSPI/NCES 2024 Math State Snapshot, WA Grade 8"
NP,2024,mathematics,8,272,"OSPI/NCES 2024 Math State Snapshot, WA Grade 8"
WA,2019,reading,8,266.3,"WA State Board of Education, 2019 NAEP release"
NP,2019,reading,8,262.0,"WA State Board of Education, 2019 NAEP release"
WA,2019,mathematics,4,239.5,"WA State Board of Education, 2019 NAEP release"
NP,2019,mathematics,4,240.0,"WA State Board of Education, 2019 NAEP release"
WA,2019,reading,4,219.7,"WA State Board of Education, 2019 NAEP release"
NP,2019,reading,4,219.7,"WA State Board of Education, 2019 NAEP release"
